"marital","retire","gender","tollfree","equip","callcard","wireless","multiline","voice","pager","internet","callid","callwait","forward","confer","ebill","custcat","region","tenure","age","address","income","employ","reside","longmon","tollmon","equipmon","cardmon","wiremon","longten","tollten","equipten","cardten","wireten","loglong","lninc","edNS","edN","edS","edSN","edSS","edNN"
8,4,5,"N","No","yyyy","N","no","Nooo","nn","Nooo","N",22,33,44,3,4,33,36,47,16,63,23,2,9.05,0,0,6.75,0,373.65,0,0,220,0,2.2027647577,4.1431347264,101,101,"DidnotCompleteHighSchool","DCHS","DCHS",101
8,4,10,"Y","No","nnnn","N","no","Nooo","nn","Nooo","y",66,77,99,3,12,33,28,51,22,40,10,6,8.95,21.25,0,0,0,253.55,586.95,0,0,0,2.1916535323,3.6888794541,303,303,"SomeCollege","SC","SC",303
8,9,5,"Y","No","yyyy","N","yes","Nooo","nn","Nooo","y",66,77,99,3,12,11,72,67,44,51,34,2,57.05,51.5,0,19.25,0,4168.25,3657.9,0,1345,0,4.0439280763,3.9318256327,101,101,"DidnotCompleteHighSchool","DCHS","DCHS",101
3,4,5,"N","No","nnnn","N","no","Nooo","nn","Nooo","N",22,33,44,3,4,11,16,27,5,37,5,4,6,0,0,0,0,80.7,0,0,0,0,1.7917594692,3.6109179126,303,303,"SomeCollege","SC","SC",303
3,4,10,"N","Yes","yyyy","Y","no","Nooo","nn","Yesss","y",22,33,99,88,4,33,3,43,19,61,11,1,3.15,0,27.25,16.25,17.95,7.9,0,53.25,20,38.2,1.1474024528,4.1108738642,404,404,"CollegeDegree","CD","CD",404
8,4,5,"N","No","yyyy","N","no","Nooo","nn","Nooo","N",22,33,44,3,4,11,40,57,15,22,9,2,8.55,0,0,19.75,0,381.5,0,0,710,0,2.1459312829,3.0910424534,202,202,"HighSchoolDegree","HSD","HSD",202
3,4,10,"N","Yes","nnnn","N","yes","Nooo","nn","Yesss","N",22,33,44,88,8,33,16,39,6,44,3,1,6.6,0,23.3,0,0,96.3,0,350.15,0,0,1.887069649,3.7841896339,404,404,"CollegeDegree","CD","CD",404
3,4,5,"N","No","nnnn","N","no","Nooo","nn","Nooo","N",22,33,44,3,4,11,20,42,4,17,5,1,7.8,0,0,0,0,175.85,0,0,0,0,2.0541237337,2.8332133441,303,303,"SomeCollege","SC","SC",303
3,4,10,"N","Yes","nnnn","Y","yes","Yesss","nn","Yesss","N",22,33,44,88,8,22,48,43,13,110,15,3,7.25,0,33.5,0,20.65,359.35,0,1572.7,0,1010.4,1.9810014689,4.7004803658,505,505,"PostUndergraduateDegree","PUD","PUD",505
8,4,5,"Y","No","yyyy","Y","yes","Nooo","nn","Nooo","y",66,77,99,3,12,22,64,48,13,91,24,2,24.5,24.75,0,12.5,29.65,1531.9,1569.25,0,780,1875.95,3.1986731176,4.5108595065,202,202,"HighSchoolDegree","HSD","HSD",202
3,4,5,"N","Yes","nnnn","N","no","Nooo","yy","Yesss","N",22,33,44,88,4,11,8,46,3,46,8,1,3.15,0,25.05,0,0,16.65,0,172.05,0,0,1.1474024528,3.8286413965,202,202,"HighSchoolDegree","HSD","HSD",202
8,4,5,"N","No","nnnn","N","no","Nooo","nn","Nooo","y",66,77,99,3,12,11,40,38,10,85,12,2,10.6,0,0,0,0,384.8,0,0,0,0,2.3608540011,4.4426512565,303,303,"SomeCollege","SC","SC",303
3,9,5,"N","No","nnnn","N","no","Nooo","nn","Nooo","N",22,33,99,3,4,22,38,71,27,10,12,1,11.2,0,0,0,0,429.85,0,0,0,0,2.4159137783,2.302585093,202,202,"HighSchoolDegree","HSD","HSD",202
3,4,10,"Y","No","yyyy","N","no","Yesss","nn","Nooo","y",66,77,99,3,12,11,67,68,28,244,47,1,30.25,30.25,0,30.75,0,2186.2,2036.15,0,2105,0,3.4094961845,5.4971682253,101,101,"DidnotCompleteHighSchool","DCHS","DCHS",101
3,4,10,"Y","Yes","yyyy","Y","yes","Yesss","yy","Yesss","y",66,77,99,88,16,11,26,42,0,80,15,1,7.85,44,49.6,10.5,43.75,196.65,1123.25,1159.35,250,1176.55,2.0605135318,4.3820266347,404,404,"CollegeDegree","CD","CD",404
8,4,10,"Y","No","yyyy","N","yes","Yesss","yy","Yesss","y",66,77,99,3,16,33,41,34,15,83,1,2,8.9,33.75,0,5.75,0,379.55,1404.45,0,220,0,2.1860512767,4.4188406078,505,505,"PostUndergraduateDegree","PUD","PUD",505
3,4,5,"N","Yes","nnnn","N","no","Nooo","nn","Nooo","N",22,33,99,3,4,22,2,31,2,21,6,1,1.65,0,21.6,0,0,3.2,0,17.25,0,0,0.5007752879,3.0445224377,101,101,"DidnotCompleteHighSchool","DCHS","DCHS",101
8,4,5,"Y","No","yyyy","N","yes","Yesss","yy","Nooo","y",66,77,99,3,16,33,20,48,29,24,3,2,11.85,22.5,0,35,0,230.7,452.75,0,675,0,2.4723278676,3.1780538303,202,202,"HighSchoolDegree","HSD","HSD",202
3,4,10,"Y","No","yyyy","N","no","Nooo","yy","Nooo","y",66,77,99,3,12,22,31,53,2,351,31,1,5.5,31.5,0,19.25,0,185.3,1009.9,0,585,0,1.7047480922,5.8607862235,303,303,"SomeCollege","SC","SC",303
8,4,10,"N","Yes","yyyy","N","yes","Nooo","nn","Yesss","N",22,33,44,3,8,22,45,52,4,169,29,4,14.65,0,40.45,14.25,0,618.15,0,1820.4,690,0,2.6844403355,5.1298987149,404,404,"CollegeDegree","CD","CD",404
8,4,5,"N","Yes","nnnn","N","no","Nooo","nn","Nooo","N",22,33,44,88,4,22,33,27,7,46,7,4,7.25,0,29.15,0,0,243.35,0,923.85,0,0,1.9810014689,3.8286413965,202,202,"HighSchoolDegree","HSD","HSD",202
3,4,5,"N","Yes","nnnn","N","yes","Nooo","nn","Nooo","N",22,33,44,3,8,11,10,26,6,34,3,1,4.85,0,27.7,0,0,41.85,0,223.05,0,0,1.5789787049,3.5263605246,303,303,"SomeCollege","SC","SC",303
8,4,5,"N","Yes","yyyy","Y","yes","Yesss","yy","Yesss","y",22,77,44,88,16,22,62,54,2,50,3,2,17.25,0,48,87.5,33.25,1067.8,0,2864.15,5455,2022.55,2.8478121435,3.9120230054,404,404,"CollegeDegree","CD","CD",404
3,4,10,"Y","Yes","nnnn","Y","no","Yesss","yy","Yesss","y",66,77,99,88,16,22,4,35,16,161,6,1,3.4,23.75,49.8,0,35.75,10.35,103.1,126.95,0,135.25,1.2237754316,5.081404365,505,505,"PostUndergraduateDegree","PUD","PUD",505
8,4,5,"Y","No","yyyy","N","no","Nooo","nn","Nooo","y",66,77,44,3,12,11,42,47,17,212,17,2,7.45,26.75,0,24.75,0,320.9,1163.55,0,1035,0,2.0082140324,5.3565862747,404,404,"CollegeDegree","CD","CD",404
8,4,5,"N","Yes","nnnn","N","yes","Nooo","yy","Yesss","N",22,33,44,88,8,33,27,51,3,80,11,3,7.1,0,39.4,0,0,176.2,0,1086.65,0,0,1.960094784,4.3820266347,505,505,"PostUndergraduateDegree","PUD","PUD",505
3,4,10,"Y","No","nnnn","N","no","Nooo","nn","Nooo","N",66,33,44,3,4,22,38,42,1,30,7,1,13.2,27.5,0,0,0,495.85,1087.9,0,0,0,2.5802168296,3.4011973817,404,404,"CollegeDegree","CD","CD",404
8,4,10,"N","Yes","yyyy","Y","yes","Yesss","nn","Yesss","N",22,33,99,88,8,33,52,61,3,53,1,2,12.25,0,38.4,8.75,35.95,631.7,0,1884.1,465,1971.35,2.505525937,3.9702919136,505,505,"PostUndergraduateDegree","PUD","PUD",505
3,4,10,"Y","No","yyyy","Y","yes","Yesss","yy","Yesss","y",66,77,99,88,16,33,35,33,9,73,4,1,5.85,38.25,0,22.25,40.35,216.6,1337.6,0,700,1423.8,1.7664416612,4.2904594411,505,505,"PostUndergraduateDegree","PUD","PUD",505
8,4,10,"N","No","nnnn","N","no","Nooo","nn","Nooo","N",22,33,44,88,4,33,3,20,1,17,0,4,3.75,0,0,0,0,12.3,0,0,0,0,1.32175584,2.8332133441,202,202,"HighSchoolDegree","HSD","HSD",202
3,4,5,"N","Yes","yyyy","Y","yes","Yesss","nn","Yesss","y",66,33,44,88,16,22,17,33,9,23,3,1,10.2,0,36.4,14.5,30.9,196.3,0,570.9,220,529.25,2.3223877203,3.1354942159,505,505,"PostUndergraduateDegree","PUD","PUD",505
8,4,5,"N","No","nnnn","N","no","Nooo","nn","Nooo","N",66,77,99,3,12,11,55,53,21,34,8,2,5.7,0,0,0,0,304.4,0,0,0,0,1.7404661748,3.5263605246,101,101,"DidnotCompleteHighSchool","DCHS","DCHS",101
8,4,10,"Y","No","yyyy","N","yes","Nooo","nn","Nooo","N",22,33,44,3,8,33,43,36,5,107,19,3,11.55,12.75,0,21.5,0,491.55,583.75,0,910,0,2.446685437,4.6728288345,101,101,"DidnotCompleteHighSchool","DCHS","DCHS",101
8,4,10,"Y","No","yyyy","N","no","Nooo","nn","Nooo","N",66,77,99,3,12,22,47,25,5,21,1,2,8.65,30.5,0,9,0,426.6,1465.45,0,405,0,2.1575593209,3.0445224377,101,101,"DidnotCompleteHighSchool","DCHS","DCHS",101
3,4,10,"N","No","yyyy","N","yes","Nooo","nn","Nooo","N",66,33,44,3,8,33,65,58,30,83,16,1,19.3,0,0,22.75,0,1323.2,0,0,1370,0,2.9601050959,4.4188406078,202,202,"HighSchoolDegree","HSD","HSD",202
3,4,5,"N","Yes","yyyy","N","yes","Nooo","nn","Yesss","y",66,77,99,88,16,11,13,20,1,17,0,5,3.05,0,31.3,14,0,40.3,0,390.6,155,0,1.1151415906,2.8332133441,303,303,"SomeCollege","SC","SC",303
8,4,10,"N","Yes","yyyy","N","yes","Nooo","nn","Nooo","y",22,77,99,88,12,33,64,25,4,76,2,6,24.05,0,35.4,21.25,0,1536.55,0,2288.45,1400,0,3.1801349966,4.3307333403,303,303,"SomeCollege","SC","SC",303
3,4,5,"Y","No","yyyy","N","no","Nooo","nn","Nooo","y",66,77,99,3,12,22,12,24,2,19,0,1,4,24.75,0,27.25,0,46,299,0,295,0,1.3862943611,2.9444389792,101,101,"DidnotCompleteHighSchool","DCHS","DCHS",101
8,4,10,"N","Yes","nnnn","N","yes","Nooo","yy","Yesss","N",22,33,44,88,8,11,29,32,0,49,3,3,6.7,0,33,0,0,187,0,918.25,0,0,1.9021075264,3.8918202981,404,404,"CollegeDegree","CD","CD",404
3,4,10,"N","No","nnnn","N","yes","Nooo","nn","Nooo","y",22,33,99,88,8,22,23,47,21,173,22,1,7.6,0,0,0,0,145.9,0,0,0,0,2.0281482473,5.1532915945,303,303,"SomeCollege","SC","SC",303
