"row ID","Default","Loan","Mortgage","Value","YOJ","Derogatories","Delinquencies","CLAGE","Inquiries","CLNO","DEBTINC","BIN_Reason","BIN_Job"
"R71","1",3800,19135.0,97692.0,1.6,1,6,252.633333333,1,25,33.779915348719925,"HomeImp","Mgr"
"R73","0",3800,73760.81719955898,73189.0,8.922268135904508,0,0,179.76627518658208,1,21,22.2539491565,"DebtCon","Other"
"R75","1",3900,29896.0,45960.0,11.0,0,0,146.123242194,0,14,24.4788811911,"HomeImp","Other"
"R78","0",3900,102143.0,118742.0,2.0,0,0,85.2773655788,0,13,29.3439210886,"HomeImp","Office"
"R81","0",4000,54543.0,61777.0,21.0,0,0,205.586680033,0,19,21.8065634639,"HomeImp","Office"
"R89","1",4000,45000.0,58350.0,3.5,0,0,162.0,3,16,33.779915348719925,"HomeImp","Mgr"
"R91","0",4000,66000.0,79050.0,1.8,2,0,279.0,1,6,33.779915348719925,"HomeImp","Other"
"R93","0",4000,62000.0,78000.0,4.0,0,0,109.566666667,0,15,33.779915348719925,"HomeImp","Other"
"R98","0",4000,67533.0,71865.0,10.0,0,2,227.792988411,0,25,39.1663287026,"HomeImp","Mgr"
"R100","1",4100,58500.0,65000.0,8.0,1,2,63.9333333333,2,15,33.779915348719925,"HomeImp","Other"
"R102","0",4200,56544.0,59218.0,19.0,0,0,211.00259912,1,20,19.0277044247,"HomeImp","Office"
"R103","1",4200,34800.0,50225.0,2.0,1,0,93.5,1,5,33.779915348719925,"HomeImp","Other"
"R106","0",4200,66272.0,82953.0,3.0,0,0,110.278662594,0,15,43.4505879111,"HomeImp","Other"
"R107","0",4200,50216.0,58541.0,19.0,0,0,209.871302243,0,19,20.2080326696,"HomeImp","Office"
"R108","0",4300,71206.0,78698.0,3.0,0,0,129.932869017,0,31,34.1813765158,"DebtCon","Sales"
"R111","0",4400,53969.0,63869.0,7.0,0,3,162.390010669,0,30,23.5810792388,"DebtCon","ProfExe"
"R112","0",4400,73760.81719955898,60250.0,8.922268135904508,0,0,179.76627518658208,1,21,33.779915348719925,"DebtCon","Other"
"R115","0",4500,73760.81719955898,77182.0,8.922268135904508,0,0,179.76627518658208,1,21,25.2272529043,"DebtCon","Other"
"R117","0",4500,71082.0,79247.0,4.0,0,0,118.760410072,0,14,41.4211105206,"HomeImp","Other"
"R118","0",4500,73760.81719955898,49044.0,0.0,0,0,179.76627518658208,0,0,11.652738796,"HomeImp","Other"
"R119","1",4500,57000.0,101776.04874145007,5.0,0,0,222.6,1,13,33.779915348719925,"HomeImp","Other"
"R121","1",4500,66517.0,87000.0,10.0,0,4,125.8,0,34,33.779915348719925,"DebtCon","ProfExe"
"R124","1",4500,90000.0,105800.0,6.0,2,3,80.1,3,10,33.779915348719925,"HomeImp","Other"
"R125","0",4700,67913.0,97205.0,2.0,0,0,142.824391513,0,24,35.226997192,"DebtCon","Mgr"
"R131","0",4800,67317.0,97191.0,3.0,0,0,137.319724809,0,23,34.2752937772,"DebtCon","Mgr"
"R132","0",4800,56067.0,63102.0,9.0,0,3,160.146311284,1,30,21.5837601207,"DebtCon","ProfExe"
"R137","0",4900,67794.0,84630.0,4.0,0,0,112.573418883,0,15,41.6739963615,"HomeImp","Other"
"R143","0",4900,73760.81719955898,69706.0,8.922268135904508,0,0,179.76627518658208,1,21,33.7055877376,"DebtCon","Other"
"R144","0",5000,73760.81719955898,34846.0,8.922268135904508,0,0,179.76627518658208,1,21,33.3546526265,"HomeImp","Other"
"R146","0",5000,66839.0,87168.0,4.0,0,0,122.597222585,0,15,40.6167793461,"HomeImp","Other"
"R150","1",5000,40000.0,70500.0,0.4,0,0,61.7666666667,2,8,33.779915348719925,"HomeImp","Mgr"
"R154","1",5000,100000.0,129693.5,13.0,0,0,179.76627518658208,1,21,33.779915348719925,"HomeImp","Mgr"
"R156","1",5000,73760.81719955898,9100.0,1.0,0,0,54.7333333333,2,8,33.779915348719925,"HomeImp","Other"
"R157","1",5000,34200.0,50830.0,6.0,0,0,57.0,1,9,33.779915348719925,"HomeImp","Other"
"R158","1",5000,73760.81719955898,71277.0,10.0,0,0,72.4333333333,1,12,33.779915348719925,"HomeImp","Other"
"R160","1",5000,16600.0,25250.0,6.0,0,0,88.7,1,3,33.779915348719925,"HomeImp","Other"
"R161","1",5000,73760.81719955898,52000.0,8.922268135904508,0,1,285.333333333,0,6,33.779915348719925,"HomeImp","Other"
"R168","0",5000,26037.0,35000.0,12.0,0,0,182.633333333,0,13,33.779915348719925,"HomeImp","ProfExe"
"R172","0",5000,73760.81719955898,36375.0,3.0,0,0,266.8,1,26,33.779915348719925,"HomeImp","Other"
"R176","0",5000,78565.0,98500.0,24.0,0,0,51.7666666667,3,14,33.779915348719925,"DebtCon","ProfExe"
"R181","1",5000,68000.0,75616.0,0.1,0,0,131.866666667,0,30,33.779915348719925,"DebtCon","ProfExe"
"R186","0",5000,44674.0,59375.0,10.0,0,0,178.692508696,1,19,26.448197463,"HomeImp","Office"
"R188","0",5000,80153.0,97275.0,1.0,0,0,120.675063156,2,10,37.5127084094,"DebtCon","Other"
"R191","1",5000,46696.0,85202.0,2.0,1,2,148.340645492,0,14,46.4898740007,"HomeImp","Other"
"R195","0",5100,85583.0,115341.0,7.0,0,0,177.958255117,1,28,26.2579701324,"HomeImp","ProfExe"
"R198","0",5100,73760.81719955898,26715.0,1.0,0,0,258.789297618,0,14,26.7223433365,"DebtCon","Other"
"R202","0",5100,93000.0,116875.0,10.0,0,0,417.633333333,2,50,33.779915348719925,"HomeImp","Other"
"R203","1",5100,15500.0,34000.0,0.0,1,2,86.2333333333,2,13,33.779915348719925,"DebtCon","Other"
"R206","0",5100,73882.0,96031.0,0.0,0,0,125.787400114,1,10,34.4460792217,"DebtCon","Other"
"R211","0",5200,43039.0,53521.0,11.0,0,0,184.296687293,1,19,24.4147631772,"HomeImp","Office"
"R213","1",5200,73760.81719955898,9500.0,1.0,0,1,81.1,1,2,33.779915348719925,"DebtCon","Other"
"R219","1",5300,26908.0,36078.0,8.922268135904508,0,0,302.35870946,0,8,39.1969854023,"HomeImp","Other"
"R220","0",5300,73760.81719955898,49396.0,0.0,0,0,179.76627518658208,0,0,12.0436705757,"HomeImp","Other"
"R223","0",5300,75958.0,91703.0,0.0,0,0,124.182178802,1,10,34.5990601939,"DebtCon","Other"
"R225","0",5300,60826.0,80826.0,10.0,0,1,212.891746071,0,25,38.5914940277,"HomeImp","Mgr"
"R226","0",5300,83552.0,96809.0,0.0,0,0,179.76627518658208,1,21,28.4239619064,"DebtCon","ProfExe"
"R227","0",5300,47449.0,63895.0,19.0,0,0,208.162714013,0,20,19.7621137015,"HomeImp","Office"
"R232","1",5400,45509.0,57453.0,4.0,0,0,95.6,0,22,33.779915348719925,"DebtCon","Sales"
"R233","1",5400,59720.0,63450.0,5.0,0,1,199.9,1,20,33.779915348719925,"HomeImp","ProfExe"
"R235","0",5400,68625.0,82304.0,2.0,0,0,136.632944162,0,30,32.0500234904,"DebtCon","Sales"
"R237","0",5400,73760.81719955898,75254.0,8.922268135904508,0,0,179.76627518658208,1,21,23.1637429473,"DebtCon","Other"
"R240","0",5500,70481.0,82446.0,8.0,0,1,116.591976877,0,24,37.6126827235,"HomeImp","Other"
"R242","0",5500,87765.0,101053.0,22.0,0,0,55.5580490439,2,13,31.3755424159,"DebtCon","ProfExe"
"R243","0",5500,52897.0,65054.0,20.0,0,0,189.295318465,0,19,20.6541288964,"HomeImp","Office"
"R248","1",5500,73760.81719955898,13770.0,5.0,0,1,167.366666667,1,8,33.779915348719925,"HomeImp","Mgr"
"R249","0",5500,93051.0,115374.0,6.0,0,0,187.020518788,1,27,27.6467485048,"HomeImp","ProfExe"
"R254","1",5500,73760.81719955898,12972.0,1.0,0,1,82.2942663537,0,2,36.9867440968,"HomeImp","Other"
"R262","0",5600,76407.0,77485.0,9.0,0,0,91.6837706342,0,24,37.7733509757,"HomeImp","Other"
"R266","0",5600,15275.0,47954.0,8.922268135904508,0,0,204.33524504,0,12,42.3977696378,"HomeImp","Self"
"R267","0",5700,100934.0,111496.0,23.0,0,0,117.49959288,0,12,38.7505626679,"HomeImp","Office"
"R268","0",5700,73760.81719955898,74685.0,8.922268135904508,0,0,179.76627518658208,1,21,24.2748652748,"DebtCon","Other"
"R273","0",5700,26927.0,35461.0,0.0,1,0,21.799352154,10,6,29.4396642416,"DebtCon","Other"
"R274","0",5700,49806.0,82242.0,3.0,0,0,210.34747857,3,30,31.2434087015,"DebtCon","Other"
"R277","1",5700,80437.0,109647.0,9.5,0,0,104.4,0,14,33.779915348719925,"HomeImp","ProfExe"
"R281","0",5700,73760.81719955898,39052.0,3.0,0,0,272.220628263,0,25,39.8961046183,"HomeImp","Other"
"R282","1",5700,74172.0,79846.0,0.0,0,0,157.009774721,0,28,47.4152286589,"DebtCon","ProfExe"
"R283","0",5700,28116.0,33450.0,0.0,1,0,15.3965873921,9,7,30.0170132956,"DebtCon","Other"
"R286","0",5800,73760.81719955898,36385.0,2.0,0,0,266.553394384,1,25,43.3097645408,"HomeImp","Other"
"R288","0",5800,75000.0,90543.0,18.0,0,0,300.4872058,1,23,38.9405753557,"DebtCon","Mgr"
"R289","0",5800,79296.0,86885.0,19.0,0,1,307.9748816,1,23,39.9591087648,"DebtCon","Mgr"
"R290","1",5800,27791.0,46833.0,3.0,0,0,83.2890627458,1,13,30.1878053886,"DebtCon","Mgr"
"R292","0",5800,73760.81719955898,34704.0,8.922268135904508,0,0,179.76627518658208,1,21,34.1740555451,"HomeImp","Other"
"R295","1",5900,73760.81719955898,28000.0,1.0,2,1,36.7666666667,1,8,33.779915348719925,"DebtCon","Self"
"R296","0",5900,70973.0,77989.0,7.0,0,0,120.379414294,0,24,41.4425004619,"HomeImp","Other"
"R298","0",5900,73760.81719955898,51189.0,1.0,0,0,179.76627518658208,0,0,12.7491806447,"HomeImp","Other"
"R302","0",5900,73760.81719955898,66903.0,8.922268135904508,0,0,179.76627518658208,1,21,32.7829268276,"DebtCon","Other"
"R303","1",5900,106650.0,101776.04874145007,1.0,0,6,250.566666667,4,23,33.779915348719925,"DebtCon","Mgr"
"R307","1",6000,24600.0,30500.0,4.5,0,1,116.1,8,34,33.779915348719925,"HomeImp","Other"
"R308","1",6000,65000.0,94355.0,26.0,1,3,69.3,1,34,33.779915348719925,"DebtCon","Other"
"R310","1",6000,33600.0,101776.04874145007,2.0,0,0,140.933333333,1,20,33.779915348719925,"HomeImp","Other"
"R315","1",6000,16878.0,25850.0,1.0,0,1,218.6,5,34,33.779915348719925,"DebtCon","Mgr"
"R325","1",6000,18793.0,27750.0,6.0,0,3,119.7,0,8,33.779915348719925,"HomeImp","Mgr"
"R326","1",6000,179397.0,200000.0,5.0,6,0,90.3,6,29,33.779915348719925,"DebtCon","ProfExe"
"R328","0",6000,79046.0,103048.0,0.0,0,0,181.696538015,0,32,37.2899899236,"HomeImp","Other"
"R332","0",6100,48500.0,62500.0,7.0,0,4,111.3,2,11,33.779915348719925,"DebtCon","Mgr"
"R333","0",6100,73760.81719955898,47400.0,8.922268135904508,0,0,179.76627518658208,1,21,33.779915348719925,"DebtCon","Other"
"R340","0",6100,79636.0,87276.0,20.0,0,0,350.436137546,0,47,28.8482765808,"HomeImp","Other"
"R343","0",6100,77265.0,97944.0,0.0,0,0,179.76627518658208,1,21,28.8764630546,"DebtCon","ProfExe"
"R344","0",6200,75657.0,84368.0,4.0,0,0,122.244945018,0,30,32.5525433347,"DebtCon","Sales"
"R346","0",6200,73760.81719955898,33909.0,8.922268135904508,0,0,179.76627518658208,1,21,34.5174045159,"HomeImp","Other"
"R353","1",6200,42100.0,57385.0,8.5,0,1,164.8,1,28,33.779915348719925,"DebtCon","Other"
"R355","0",6200,73881.0,98550.0,0.0,0,1,182.878779802,0,31,37.1994456905,"HomeImp","Other"
"R356","0",6200,45787.0,64854.0,4.0,0,1,63.117023228,1,16,36.5387473383,"DebtCon","Other"
"R359","0",6200,133882.0,155222.0,9.0,0,0,212.537643219,0,19,20.616783656,"HomeImp","ProfExe"
"R362","0",6300,99469.0,116260.0,23.0,0,0,124.74559549,1,12,35.6422701073,"HomeImp","Office"
"R363","0",6300,55000.0,69000.0,13.0,0,0,130.066666667,0,20,33.779915348719925,"DebtCon","ProfExe"
"R367","0",6300,78724.0,80355.0,24.0,0,0,335.074142606,1,46,31.1772613044,"HomeImp","Other"
"R368","1",6300,59793.0,98314.0,2.2,0,0,120.733333333,0,8,33.779915348719925,"DebtCon","Self"
"R371","0",6300,92659.0,117352.0,6.0,0,0,199.011927177,0,27,26.5200495186,"HomeImp","ProfExe"
"R375","1",6300,12476.0,32559.0,12.0,3,6,227.12990511,0,23,23.3195167802,"HomeImp","Office"
"R376","0",6300,69357.0,73726.0,3.0,2,0,163.283933187,1,22,42.4078142452,"HomeImp","Sales"
"R377","0",6300,26655.0,29792.0,1.0,1,0,12.759267447,10,6,28.3618517799,"DebtCon","Other"
"R379","0",6400,99131.0,125652.0,8.0,0,0,419.375153802,1,50,42.244927573,"HomeImp","Other"
"R380","0",6400,76577.0,83200.0,5.0,0,0,179.76627518658208,1,21,22.0550342138,"DebtCon","Other"
"R382","0",6400,53476.0,70157.0,7.0,0,3,164.315409863,1,30,21.1379815718,"DebtCon","ProfExe"
"R391","0",6400,44968.0,62747.0,0.0,1,0,101.391445325,1,12,36.6029473432,"HomeImp","Other"
"R392","0",6400,9113.0,46351.0,8.922268135904508,0,0,202.250795832,0,11,45.1143193877,"HomeImp","Self"
"R393","0",6400,28041.0,33438.0,1.0,1,0,10.4256428503,10,6,29.7537002833,"DebtCon","Other"
"R394","0",6400,57887.0,74776.0,3.0,0,1,126.328643721,0,22,28.7563454338,"HomeImp","Mgr"
"R399","0",6500,63144.0,76754.0,2.0,0,2,129.077711597,0,23,29.0554331278,"HomeImp","Mgr"
"R402","0",6500,51724.0,87770.0,4.0,0,0,209.326311581,4,29,30.3434486042,"DebtCon","Other"
"R404","1",6500,48000.0,61000.0,1.0,1,0,97.2997560976,6,38,33.779915348719925,"DebtCon","Other"
"R412","0",6500,81145.0,117530.0,29.0,0,0,327.200638515,1,38,34.345837692,"HomeImp","Office"
"R413","0",6500,73760.81719955898,70886.0,8.922268135904508,0,0,179.76627518658208,1,21,23.4708807497,"DebtCon","Other"
"R414","1",6500,183860.0,208910.0,4.0,6,0,86.4522269408,6,29,69.8005247998,"DebtCon","ProfExe"
"R415","0",6500,58689.0,72557.0,0.0,0,1,94.0080528603,2,18,34.8984130656,"DebtCon","Other"
"R417","0",6600,74376.0,84855.0,3.0,0,0,179.76627518658208,1,21,20.0283535049,"DebtCon","Other"
"R419","0",6600,68733.0,81973.0,5.0,0,0,96.9776671987,0,14,42.2110467841,"HomeImp","Other"
"R420","0",6600,40926.0,50486.0,10.0,0,0,179.800868116,1,19,27.5323761068,"HomeImp","Office"
"R422","0",6600,73760.81719955898,46516.0,0.0,0,0,179.76627518658208,0,0,14.8459907276,"HomeImp","Other"
"R424","0",6700,73760.81719955898,55396.0,8.922268135904508,0,0,179.76627518658208,1,21,15.7039915621,"DebtCon","Other"
"R425","0",6700,55113.0,56486.0,4.0,0,0,84.4170304621,0,17,23.6428538295,"HomeImp","Other"
"R429","0",6700,58741.0,68225.0,9.0,0,3,173.574416303,1,31,23.5870132277,"DebtCon","ProfExe"
"R430","1",6700,27510.0,42495.0,2.0,0,2,171.526489224,3,27,41.4285975079,"DebtCon","Other"
"R431","1",6700,73760.81719955898,81239.0,19.0,0,0,179.76627518658208,1,21,40.8949317008,"HomeImp","Other"
"R433","0",6700,51855.0,58084.0,21.0,0,0,193.754745668,0,19,19.5495716984,"HomeImp","Office"
"R437","1",6700,73760.81719955898,20631.0,4.0,0,0,174.721834129,1,8,62.2464511234,"HomeImp","Mgr"
"R440","0",6800,136951.0,160306.0,11.0,0,0,219.735673403,1,18,20.8850934989,"HomeImp","ProfExe"
"R443","0",6800,78292.0,86959.0,3.0,0,0,179.76627518658208,1,21,18.9272116381,"DebtCon","Other"
"R445","0",6800,57439.0,74816.0,2.0,0,2,126.30323511,0,22,27.1186535273,"HomeImp","Mgr"
"R448","0",6800,45150.0,57150.0,4.0,0,1,94.3333333333,3,12,33.779915348719925,"DebtCon","Office"
"R449","0",6800,56155.0,57912.0,21.0,0,0,206.306321337,0,20,21.7985130818,"HomeImp","Office"
"R450","1",6800,73760.81719955898,27410.0,6.0,1,0,2.03333333333,1,5,33.779915348719925,"HomeImp","Mgr"
"R453","0",6800,71666.0,99913.0,0.0,0,1,196.464998932,0,31,35.7616047308,"HomeImp","Other"
"R454","0",6800,75964.0,88754.0,19.0,0,1,298.700482149,0,23,39.1075016429,"DebtCon","Mgr"
"R455","0",6900,75880.0,113612.0,1.0,0,0,230.805588123,1,38,17.9658834438,"DebtCon","Office"
"R457","0",6900,53776.0,51952.0,5.0,0,0,87.9001183372,0,17,22.2869974773,"HomeImp","Other"
"R458","1",6900,53328.0,58088.0,2.0,0,0,101.531907896,0,21,35.7640583619,"DebtCon","Sales"
"R461","1",6900,37055.0,83000.0,1.0,0,0,122.266666667,2,43,33.779915348719925,"HomeImp","Sales"
"R463","0",6900,49000.0,68280.0,1.0,0,0,61.9,8,22,33.779915348719925,"DebtCon","Other"
"R466","0",6900,49932.0,66042.0,20.0,0,0,204.48458275,0,19,21.8554941257,"HomeImp","Office"
"R467","0",6900,51384.0,84689.0,4.0,0,0,224.247036903,3,29,30.5261507228,"DebtCon","Other"
"R468","0",6900,73760.81719955898,36191.0,8.922268135904508,0,0,311.869899311,1,12,30.7906207743,"HomeImp","Other"
"R469","0",7000,98779.0,124827.0,9.0,0,0,421.541927996,1,49,40.8288729342,"HomeImp","Other"
"R470","0",7000,73873.0,111781.0,0.0,0,0,231.799913459,0,38,19.2735794554,"DebtCon","Office"
"R472","0",7000,73760.81719955898,47462.0,8.922268135904508,0,0,102.657327096,1,9,36.094071425,"HomeImp","Other"
"R474","0",7000,58128.0,93740.0,5.0,0,0,213.363027675,2,24,34.4753019291,"HomeImp","ProfExe"
"R476","0",7000,52287.0,87972.0,7.0,0,0,211.284413173,1,24,33.4614022484,"HomeImp","ProfExe"
"R478","0",7000,46238.0,66842.0,4.0,0,0,90.3804090831,3,11,36.3095267898,"DebtCon","Office"
"R480","1",7000,19894.0,32500.0,4.0,0,0,134.7,1,16,33.779915348719925,"DebtCon","Other"
"R483","1",7000,66000.0,86300.0,3.0,1,1,242.433333333,0,8,33.779915348719925,"DebtCon","Other"
"R485","0",7000,120000.0,175450.0,8.0,0,0,219.166666667,1,20,33.779915348719925,"DebtCon","Other"
"R504","0",7000,58114.0,93391.0,6.0,0,0,200.07775507,1,24,31.7365117864,"HomeImp","ProfExe"
"R506","1",7100,39000.0,55000.0,12.0,0,1,192.766666667,2,31,33.779915348719925,"DebtCon","Other"
"R509","0",7100,98490.0,114457.0,23.0,0,0,116.100087143,0,11,35.6018942506,"HomeImp","Office"
"R510","0",7100,54700.0,68500.0,19.0,0,0,155.2,1,12,33.779915348719925,"DebtCon","Other"
"R511","0",7100,73760.81719955898,40185.0,3.0,0,0,272.922684702,1,25,41.9168995287,"HomeImp","Other"
"R512","0",7100,25896.0,33580.0,1.0,0,0,29.8563651658,9,7,28.2714741585,"DebtCon","Other"
"R513","0",7100,120176.0,180104.0,8.0,0,0,221.607324188,0,18,32.6743589668,"DebtCon","Other"
"R514","0",7100,58639.0,72412.0,14.0,0,0,120.033464547,0,20,43.678746661,"DebtCon","ProfExe"
"R515","0",7100,57863.0,70969.0,0.0,0,0,65.872044812,7,21,26.8294901912,"DebtCon","Other"
"R517","0",7100,53273.0,54378.0,5.0,0,0,84.8372499657,0,17,22.8611996463,"HomeImp","Other"
"R520","0",7200,57912.0,84806.0,15.0,0,0,241.514249839,0,35,35.0626756545,"HomeImp","Other"
"R521","0",7200,98691.0,115750.0,22.0,0,0,118.000142318,0,11,37.7203586098,"HomeImp","Office"
"R522","0",7200,79946.0,113807.0,1.0,0,0,238.458824982,0,37,18.6172886911,"DebtCon","Office"
"R523","0",7200,36264.0,48240.0,15.0,0,0,82.1666666667,0,12,33.779915348719925,"DebtCon","Other"
"R528","0",7200,73760.81719955898,74610.0,1.0,0,0,40.1821348211,0,3,37.9412537691,"HomeImp","Office"
"R535","1",7300,28500.0,42050.0,3.0,0,0,179.76627518658208,1,21,33.779915348719925,"HomeImp","Other"
"R538","0",7300,55456.0,86766.0,6.0,0,0,240.056771454,2,23,31.7246985016,"HomeImp","ProfExe"
"R541","0",7300,49064.0,64225.0,6.0,0,4,106.37599933,1,10,40.0519152312,"DebtCon","Mgr"
"R543","0",7400,32832.0,50798.0,10.0,0,0,221.338420804,1,31,36.0094214858,"DebtCon","Other"
"R544","0",7400,75311.0,89905.0,0.0,0,0,179.76627518658208,1,21,27.2019996122,"DebtCon","ProfExe"
"R545","1",7400,2063.0,100448.0,8.922268135904508,0,0,96.1333333333,0,14,33.779915348719925,"HomeImp","Other"
"R546","0",7400,73760.81719955898,44651.0,2.0,0,0,271.918169052,0,25,42.9300430965,"HomeImp","Other"
"R547","0",7400,138033.0,163162.0,11.0,0,0,224.84704249,0,19,21.0575740226,"HomeImp","ProfExe"
"R550","0",7400,48924.0,86612.0,4.0,0,0,207.768414423,4,30,29.937917829,"DebtCon","Other"
"R553","0",7400,51974.0,59323.0,4.0,0,0,83.3467118796,0,18,23.3976346285,"HomeImp","Other"
"R556","0",7400,65032.0,83184.0,15.0,0,0,230.420255925,1,35,35.4151129162,"HomeImp","Other"
"R560","0",7500,45864.0,57799.0,7.0,0,0,65.5711978601,1,16,33.8657453473,"DebtCon","Other"
"R563","0",7500,63573.0,80601.0,4.0,0,0,111.435189851,0,14,41.7734466164,"HomeImp","Other"
"R565","0",7500,44744.0,60518.0,6.0,0,0,79.4112299943,1,16,34.3974417267,"DebtCon","Other"
"R566","0",7500,73760.81719955898,49804.0,8.922268135904508,0,0,179.76627518658208,1,21,12.3912350371,"DebtCon","Other"
"R568","0",7500,84479.0,104571.0,23.0,0,0,47.8328513378,3,14,33.0750103719,"DebtCon","ProfExe"
"R569","0",7500,88056.0,104794.0,25.0,0,0,56.7501131362,2,14,30.5389069694,"DebtCon","ProfExe"
"R572","1",7500,73760.81719955898,101776.04874145007,21.0,0,0,158.9,1,21,33.779915348719925,"HomeImp","Other"
"R573","1",7500,35945.0,49750.0,3.0,0,0,122.066666667,0,23,33.779915348719925,"HomeImp","Other"
"R575","1",7500,63500.0,86125.0,5.0,0,0,136.1,0,8,33.779915348719925,"HomeImp","Other"
"R579","1",7500,80440.0,72920.0,8.0,0,1,201.5,0,24,33.779915348719925,"HomeImp","Mgr"
"R580","1",7500,60000.0,87830.0,5.0,0,0,153.266666667,2,16,33.779915348719925,"HomeImp","Other"
"R583","0",7500,73760.81719955898,26850.0,20.0,0,0,185.633333333,1,16,33.779915348719925,"HomeImp","Office"
"R584","0",7500,49100.0,85650.0,18.0,0,0,178.334666667,0,29,33.779915348719925,"HomeImp","Other"
"R586","1",7500,39600.0,42000.0,1.0,0,0,47.7,1,15,33.779915348719925,"DebtCon","Self"
"R590","1",7500,12115.0,35910.0,13.0,3,6,234.90075082,0,24,24.6622766731,"HomeImp","Office"
"R591","0",7500,67778.0,83368.0,15.0,0,0,227.292089756,0,17,24.0917703634,"DebtCon","ProfExe"
"R595","0",7600,133475.0,203936.0,1.0,0,0,87.4528700806,2,23,37.0059678432,"DebtCon","ProfExe"
"R596","0",7600,77518.0,83727.0,4.0,0,0,179.76627518658208,1,21,22.6551402857,"DebtCon","Other"
"R597","0",7600,48829.0,62357.0,3.0,0,1,92.9413578161,2,12,35.6722736093,"DebtCon","Office"
"R601","0",7600,80900.0,99525.0,2.0,0,0,135.640196346,0,26,34.7770894249,"DebtCon","ProfExe"
"R603","0",7700,14776.0,32287.0,8.922268135904508,0,0,179.76627518658208,1,21,34.8804623179,"DebtCon","Other"
"R604","0",7700,32243.0,36369.0,12.0,0,0,180.415786726,0,13,21.7208183802,"HomeImp","ProfExe"
"R610","0",7700,20887.0,26958.0,0.0,0,0,17.4607499028,10,6,30.2335047416,"DebtCon","Other"
"R611","1",7700,14589.0,33100.0,3.0,0,7,122.066666667,0,22,33.779915348719925,"DebtCon","Other"
"R616","1",7800,73760.81719955898,11702.0,0.0,0,0,44.6295915742,2,7,21.271785371,"HomeImp","Other"
"R619","0",7800,58364.0,66688.0,3.0,0,2,114.51215796,3,18,37.9292738691,"DebtCon","Other"
"R621","0",7800,69662.0,80498.0,4.0,0,0,100.42833098,0,14,42.807341953,"HomeImp","Other"
"R624","0",7800,55000.0,62800.0,6.0,0,0,123.033333333,0,34,33.779915348719925,"HomeImp","Other"
"R629","0",7800,53243.0,95065.0,7.0,0,0,220.802444264,2,24,31.8276268235,"HomeImp","ProfExe"
"R630","1",7900,67222.0,75189.0,4.0,0,0,95.6768726912,0,23,36.9797120303,"HomeImp","Other"
"R633","1",7900,126919.0,166566.0,10.0,0,0,179.76627518658208,1,21,33.779915348719925,"HomeImp","Mgr"
